Year ,Month,Transport Mode,Volume ,Rate,,,,
2017,August,London Overground,113,7.6,,,,
2017,September,London Overground,110,7.2,,,,
2017,October,London Overground,142,9.2,,,,
2017,November,London Overground,102,6.5,,,,
2017,December,London Overground,109,7.8,,,,
2018,January,London Overground,97,6.1,,,,
2018,February,London Overground,111,7.6,,,,
2018,March,London Overground,116,7.2,,,,
2017,April,TFL Rail,34,10.3,,,,
2017,May,TFL Rail,51,13.4,,,,
2017,June,TFL Rail,29,7.4,,,,
2017,July,TFL Rail,36,9.1,,,,
2017,August,TFL Rail,41,11.2,,,,
2017,September,TFL Rail,55,13.9,,,,
2017,October,TFL Rail,69,16.6,,,,
2017,November,TFL Rail,64,15.4,,,,
2017,December,TFL Rail,44,13,,,,
2018,January,TFL Rail,60,14.7,,,,
2018,February,TFL Rail,59,16.9,,,,
2018,March,TFL Rail,69,19.3,,,,
2017,April,London Tramlink,19,8.7,,,,
2017,May,London Tramlink,23,9.3,,,,
2017,June,London Tramlink,24,9.7,,,,
2017,July,London Tramlink,27,10.8,,,,
2017,August,London Tramlink,26,11.5,,,,
2017,September,London Tramlink,24,9.1,,,,
2017,October,London Tramlink,35,13.3,,,,
2017,November,London Tramlink,17,6.5,,,,
2017,December,London Tramlink,19,8.3,,,,
2018,January,London Tramlink,23,9.7,,,,
2018,February,London Tramlink,14,6.3,,,,
2018,March,London Tramlink,18,7.6,,,,
2017,April,All transport modes,"2,394",7.6,,,,
2017,May,All transport modes,"2,575",7.4,,,,
2017,June,All transport modes,"2,666",7.8,,,,
2017,July,All transport modes,"2,881",8.5,,,,
2017,August,All transport modes,"2,431",7.9,,,,
2017,September,All transport modes,"2,503",7.4,,,,
2017,October,All transport modes,"2,908",8.3,,,,
2017,November,All transport modes,"3,040",8.6,,,,
2017,December,All transport modes,"2,715",8.8,,,,
2018,January,All transport modes,"2,636",8,,,,
2018,February,All transport modes,"2,652",8.6,,,,
2018,March,All transport modes,"2,870",8.5,,,,
2018,April,Bus,"1,080",6.1,,,,
2018,May,Bus,"1,220",6.3,,,,
2018,June,Bus,"1,194",6.1,,,,
2018,July,Bus,"1,273",6.8,,,,
2018,August,Bus,"1,032",6.2,,,,
2018,September,Bus,"1,184",6.2,,,,
2018,October,Bus,"1,369",7,,,,
2018,November,Bus,"1,488",7.6,,,,
2018,December,Bus,"1,262",7.3,,,,
2019,January,Bus,"1,318",7.2,,,,
2019,February,Bus,"1,369",8,,,,
2019,March,Bus,"1,568",8.1,,,,
2018,April,London Underground,"1,111",10.1,,,,
2018,May,London Underground,"1,155",9.9,,,,
2018,June,London Underground,"1,169",10.2,,,,
2018,July,London Underground,"1,206",10.3,,,,
2018,August,London Underground,"1,159",10.3,,,,
2018,September,London Underground,"1,103",10,,,,
2018,October,London Underground,"1,297",10.3,,,,
2018,November,London Underground,"1,355",10.9,,,,
2018,December,London Underground,"1,763",16,,,,
2019,January,London Underground,"1,531",13.4,,,,
2019,February,London Underground,"1,484",13.5,,,,
2019,March,London Underground,"1,896",15.6,,,,
2018,April,Docklands Light Railway,44,4.4,,,,
2018,May,Docklands Light Railway,63,5.9,,,,
2018,June,Docklands Light Railway,56,5.5,,,,
2018,July,Docklands Light Railway,64,6.2,,,,
2018,August,Docklands Light Railway,51,5.1,,,,
2018,September,Docklands Light Railway,73,7.6,,,,
2018,October,Docklands Light Railway,62,5.6,,,,
2018,November,Docklands Light Railway,56,5.2,,,,
2018,December,Docklands Light Railway,69,7.6,,,,
2019,January,Docklands Light Railway,52,5.2,,,,
2019,February,Docklands Light Railway,40,4.1,,,,
2019,March,Docklands Light Railway,75,7,,,,
2018,April,London Overground,120,7.7,,,,
2018,May,London Overground,142,9,,,,
2018,June,London Overground,132,8.3,,,,
2018,July,London Overground,132,8.3,,,,
2018,August,London Overground,150,9.7,,,,
2018,September,London Overground,103,6.2,,,,
2018,October,London Overground,152,8.7,,,,
2018,November,London Overground,130,7.8,,,,
2018,December,London Overground,167,13.3,,,,
2019,January,London Overground,103,6.5,,,,
2019,February,London Overground,135,9.4,,,,
2019,March,London Overground,141,8.4,,,,
2018,April,TFL Rail,52,13.4,,,,
2018,May,TFL Rail,62,15.2,,,,
2018,June,TFL Rail,58,12.7,,,,
2018,July,TFL Rail,87,18.2,,,,
2018,August,TFL Rail,85,18.9,,,,
2018,September,TFL Rail,97,20.9,,,,
2018,October,TFL Rail,112,20.8,,,,
2018,November,TFL Rail,76,16.2,,,,
2018,December,TFL Rail,62,16.3,,,,
2019,January,TFL Rail,61,12.2,,,,
2019,February,TFL Rail,46,10.5,,,,
2019,March,TFL Rail,74,15.9,,,,
2018,April,London Tramlink,22,10.7,,,,
2018,May,London Tramlink,26,10.2,,,,
2018,June,London Tramlink,15,5.9,,,,
2018,July,London Tramlink,25,10,,,,
2018,August,London Tramlink,15,6.3,,,,
2018,September,London Tramlink,14,5.6,,,,
2018,October,London Tramlink,21,8,,,,
2018,November,London Tramlink,21,8.3,,,,
2018,December,London Tramlink,31,13.5,,,,
2019,January,London Tramlink,19,8.3,,,,
2019,February,London Tramlink,12,5.5,,,,
2019,March,London Tramlink,16,6.8,,,,
2018,April,All transport modes,"2,429",7.6,,,,
2018,May,All transport modes,"2,666",7.7,,,,
2018,June,All transport modes,"2,624",7.7,,,,
2018,July,All transport modes,"2,787",8.2,,,,
2018,August,All transport modes,"2,492",8,,,,
2018,September,All transport modes,"2,574",7.7,,,,
2018,October,All transport modes,"3,013",8.4,,,,
2018,November,All transport modes,"3,126",8.8,,,,
2018,December,All transport modes,"3,354",10.8,,,,
2019,January,All transport modes,"3,084",9.3,,,,
2019,February,All transport modes,"3,086",9.9,,,,
2019,March,All transport modes,"3,770",10.7,,,,
2019,April,Bus,"1,386",8,,,,
2019,May,Bus,"1,395",7.4,,,,
2019,June,Bus,"1,564",8.3,,,,
2019,July,Bus,"1,469",7.8,,,,
2019,August,Bus,"1,146",7,,,,
2019,September,Bus,"1,328",7.1,,,,
2019,October,Bus,"1,693",8.9,,,,
2019,November,Bus,"1,507",8,,,,
2019,December,Bus,"1,277",7.6,,,,
2020,January,Bus,"1,422",7.9,,,,
2020,February,Bus,"1,408",8.3,,,,
2020,March,Bus,"1,158",9.5,,,,
2019,April,London Underground,"1,686",15,,,,
2019,May,London Underground,"1,441",12.4,,,,
2019,June,London Underground,"1,762",15,,,,
2019,July,London Underground,"1,489",12.2,,,,
2019,August,London Underground,"1,438",13.1,,,,
2019,September,London Underground,"1,363",12,,,,
2019,October,London Underground,"1,750",13.8,,,,
2019,November,London Underground,"1,965",15.9,,,,
2019,December,London Underground,"2,597",23.5,,,,
2020,January,London Underground,"2,004",17.6,,,,
2020,February,London Underground,"1,840",16.8,,,,
2020,March,London Underground,"1,296",21.3,,,,
2019,April,Docklands Light Railway,59,5.9,,,,
2019,May,Docklands Light Railway,40,3.8,,,,
2019,June,Docklands Light Railway,65,6.5,,,,
2019,July,Docklands Light Railway,60,5.7,,,,
2019,August,Docklands Light Railway,49,5,,,,
2019,September,Docklands Light Railway,40,4.1,,,,
2019,October,Docklands Light Railway,69,6.2,,,,
2019,November,Docklands Light Railway,61,5.8,,,,
2019,December,Docklands Light Railway,67,7.5,,,,
2020,January,Docklands Light Railway,77,7.8,,,,
2020,February,Docklands Light Railway,79,10.1,,,,
2020,March,Docklands Light Railway,63,,,,,
2019,April,London Overground,169,11,,,,
2019,May,London Overground,136,8.8,,,,
2019,June,London Overground,151,10.1,,,,
2019,July,London Overground,136,8.4,,,,
2019,August,London Overground,128,8.9,,,,
2019,September,London Overground,125,8.1,,,,
2019,October,London Overground,117,6.4,,,,
2019,November,London Overground,144,8.3,,,,
2019,December,London Overground,169,12.1,,,,
2020,January,London Overground,129,8.1,,,,
2020,February,London Overground,137,13.9,,,,
2020,March,London Overground,121,10.7,,,,
2019,April,TFL Rail,61,12.8,,,,
2019,May,TFL Rail,53,10.8,,,,
2019,June,TFL Rail,83,17.5,,,,
2019,July,TFL Rail,77,15.1,,,,
2019,August,TFL Rail,83,18.1,,,,
2019,September,TFL Rail,52,10.5,,,,
2019,October,TFL Rail,68,12.3,,,,
2019,November,TFL Rail,71,13.5,,,,
2019,December,TFL Rail,87,17.2,,,,
2020,January,TFL Rail,74,12.2,,,,
2020,February,TFL Rail,75,11.9,,,,
2020,March,TFL Rail,52,14.9,,,,
2019,April,London Tramlink,19,8.7,,,,
2019,May,London Tramlink,19,8,,,,
2019,June,London Tramlink,31,12.8,,,,
2019,July,London Tramlink,24,9.7,,,,
2019,August,London Tramlink,12,6.4,,,,
2019,September,London Tramlink,22,9.6,,,,
2019,October,London Tramlink,20,8,,,,
2019,November,London Tramlink,36,14.6,,,,
2019,December,London Tramlink,20,8.9,,,,
2020,January,London Tramlink,19,7.7,,,,
2020,February,London Tramlink,27,11.5,,,,
2020,March,London Tramlink,16,9.9,,,,
2019,April,All transport modes,"3,380",9.1,,,,
2019,May,All transport modes,"3,084",10.8,,,,
2019,June,All transport modes,"3,656",9.5,,,,
2019,July,All transport modes,"3,255",9.4,,,,
2019,August,All transport modes,"2,856",8.8,,,,
2019,September,All transport modes,"2,930",10.5,,,,
2019,October,All transport modes,"3,717",10.9,,,,
2019,November,All transport modes,"3,784",13.7,,,,
2019,December,All transport modes,"4,217",11.3,,,,
2020,January,All transport modes,"3,725",,,,,
2020,February,All transport modes,"3,566",,,,,
2020,March,All transport modes,"2,706",13.1,,,,
2020,April,Bus,450,16,,,,
2020,May,Bus,599,16.9,,,,
2020,June,Bus,782,15.1,,,,
2020,July,Bus,"1,053",13.8,,,,
2020,August,Bus,"1,033",12.1,,,,
2020,September,Bus,"1,302",11.8,,,,
2020,October,Bus,"1,261",11.6,,,,
2020,November,Bus,"1,020",12.1,,,,
2020,December,Bus,841,9.8,,,,
2021,January,Bus,481,9.2,,,,
2021,February,Bus,551,9.7,,,,
2021,March,Bus,870,11,,,,
2020,April,London Underground,341,63.4,,,,
2020,May,London Underground,322,44.5,,,,
2020,June,London Underground,393,26.5,,,,
2020,July,London Underground,566,21.6,,,,
2020,August,London Underground,626,18.8,,,,
2020,September,London Underground,727,17.6,,,,
2020,October,London Underground,814,18.6,,,,
2020,November,London Underground,707,24.1,,,,
2020,December,London Underground,692,21.8,,,,
2021,January,London Underground,480,31.1,,,,
2021,February,London Underground,483,26.5,,,,
2021,March,London Underground,630,23,,,,
2020,April,Docklands Light Railway,35,26.6,,,,
2020,May,Docklands Light Railway,28,19.1,,,,
2020,June,Docklands Light Railway,33,14,,,,
2020,July,Docklands Light Railway,51,14.8,,,,
2020,August,Docklands Light Railway,35,8.7,,,,
2020,September,Docklands Light Railway,54,11.4,,,,
2020,October,Docklands Light Railway,40,8.2,,,,
2020,November,Docklands Light Railway,41,10.2,,,,
2020,December,Docklands Light Railway,32,8,,,,
2021,January,Docklands Light Railway,34,12.3,,,,
2021,February,Docklands Light Railway,43,15.6,,,,
2021,March,Docklands Light Railway,40,9.8,,,,
2020,April,London Overground,42,50.1,,,,
2020,May,London Overground,49,32.9,,,,
2020,June,London Overground,60,19.2,,,,
2020,July,London Overground,58,11.9,,,,
2020,August,London Overground,96,17.9,,,,
2020,September,London Overground,93,14.1,,,,
2020,October,London Overground,85,13.4,,,,
2020,November,London Overground,87,17.8,,,,
2020,December,London Overground,53,10.7,,,,
2021,January,London Overground,59,19.2,,,,
2021,February,London Overground,49,13.7,,,,
2021,March,London Overground,72,12.9,,,,
2020,April,TFL Rail,24,18.3,,,,
2020,May,TFL Rail,28,38.3,,,,
2020,June,TFL Rail,39,30.8,,,,
2020,July,TFL Rail,51,26.6,,,,
2020,August,TFL Rail,48,22.7,,,,
2020,September,TFL Rail,62,24.4,,,,
2020,October,TFL Rail,48,18.8,,,,
2020,November,TFL Rail,36,17.6,,,,
2020,December,TFL Rail,40,20.8,,,,
2021,January,TFL Rail,39,34.1,,,,
2021,February,TFL Rail,32,24.4,,,,
2021,March,TFL Rail,36,18,,,,
2020,April,London Tramlink,5,10.4,,,,
2020,May,London Tramlink,11,21.4,,,,
2020,June,London Tramlink,13,16.8,,,,
2020,July,London Tramlink,12,10.4,,,,
2020,August,London Tramlink,21,19.4,,,,
2020,September,London Tramlink,24,16,,,,
2020,October,London Tramlink,14,9.1,,,,
2020,November,London Tramlink,16,10.9,,,,
2020,December,London Tramlink,12,9.6,,,,
2021,January,London Tramlink,10,11.5,,,,
2021,February,London Tramlink,6,8.2,,,,
2021,March,London Tramlink,13,12.2,,,,
2020,April,All transport modes,897,24,,,,
2020,May,All transport modes,"1,037",22.1,,,,
2020,June,All transport modes,"1,320",17.8,,,,
2020,July,All transport modes,"1,791",15.7,,,,
2020,August,All transport modes,"1,859",14.2,,,,
2020,September,All transport modes,"2,262",13.6,,,,
2020,October,All transport modes,"2,262",13.5,,,,
2020,November,All transport modes,"1,907",15.1,,,,
2020,December,All transport modes,"1,670",12.9,,,,
2021,January,All transport modes,"1,103",14.6,,,,
2021,February,All transport modes,"1,164",13.9,,,,
2021,March,All transport modes,"1,661",13.9,,,,
2021,April,Bus,858,9.3,,,,
2021,May,Bus,"1,028",9.1,,,,
2021,June,Bus,"1,056",9.1,,,,
2021,July,Bus,"1,131",9.6,,,,
2021,August,Bus,952,8.7,,,,
2021,September,Bus,"1,297",9.6,,,,
2021,October,Bus,"1,430",10.4,,,,
2021,November,Bus,"1,446",10.2,,,,
2021,December,Bus,"1,231",10.2,,,,
2022,January,Bus,"1,200",9.5,,,,
2022,February,Bus,"1,283",10.2,,,,
2022,March,Bus,"1,505",9.9,,,,
2021,April,London Underground,653,18.1,,,,
2021,May,London Underground,715,15.4,,,,
2021,June,London Underground,743,14.1,,,,
2021,July,London Underground,790,14.3,,,,
2021,August,London Underground,757,13,,,,
2021,September,London Underground,827,12.1,,,,
2021,October,London Underground,985,12.5,,,,
2021,November,London Underground,"1,103",13.8,,,,
2021,December,London Underground,"1,053",16.4,,,,
2022,January,London Underground,"1,059",17.8,,,,
2022,February,London Underground,997,14.1,,,,
2022,March,London Underground,"1,175",15,,,,
2021,April,Docklands Light Railway,44,9.2,,,,
2021,May,Docklands Light Railway,52,9.5,,,,
2021,June,Docklands Light Railway,48,8,,,,
2021,July,Docklands Light Railway,44,7.4,,,,
2021,August,Docklands Light Railway,32,5.3,,,,
2021,September,Docklands Light Railway,52,7.3,,,,
2021,October,Docklands Light Railway,69,8.8,,,,
2021,November,Docklands Light Railway,48,6.3,,,,
2021,December,Docklands Light Railway,55,9,,,,
2022,January,Docklands Light Railway,60,10.1,,,,
2022,February,Docklands Light Railway,49,7.7,,,,
2022,March,Docklands Light Railway,91,11.5,,,,
2021,April,London Overground,90,13.5,,,,
2021,May,London Overground,84,10.9,,,,
2021,June,London Overground,81,9.6,,,,
2021,July,London Overground,89,10.6,,,,
2021,August,London Overground,74,8.9,,,,
2021,September,London Overground,119,12.1,,,,
2021,October,London Overground,103,10.3,,,,
2021,November,London Overground,95,8.4,,,,
2021,December,London Overground,96,10.9,,,,
2022,January,London Overground,107,11.7,,,,
2022,February,London Overground,91,9.1,,,,
2022,March,London Overground,136,11.1,,,,
2021,April,TFL Rail,26,12.4,,,,
2021,May,TFL Rail,38,15.5,,,,
2021,June,TFL Rail,50,16.7,,,,
2021,July,TFL Rail,53,17.1,,,,
2021,August,TFL Rail,57,18.3,,,,
2021,September,TFL Rail,49,13.4,,,,
2021,October,TFL Rail,45,11.3,,,,
2021,November,TFL Rail,61,14.7,,,,
2021,December,TFL Rail,50,15,,,,
2022,January,TFL Rail,50,14.7,,,,
2022,February,TFL Rail,38,11,,,,
2022,March,TFL Rail,60,14.1,,,,
2021,April,London Tramlink,17,14.2,,,,
2021,May,London Tramlink,15,9.3,,,,
2021,June,London Tramlink,14,8.6,,,,
2021,July,London Tramlink,20,12.2,,,,
2021,August,London Tramlink,18,15.2,,,,
2021,September,London Tramlink,16,9.4,,,,
2021,October,London Tramlink,14,7.7,,,,
2021,November,London Tramlink,22,12.5,,,,
2021,December,London Tramlink,16,10.8,,,,
2022,January,London Tramlink,22,13,,,,
2022,February,London Tramlink,11,7.9,,,,
2022,March,London Tramlink,18,8.8,,,,
2021,April,All transport modes,"1,688",11.8,,,,
2021,May,All transport modes,"1,932",11,,,,
2021,June,All transport modes,"1,992",10.6,,,,
2021,July,All transport modes,"2,127",11.1,,,,
2021,August,All transport modes,"1,890",10.1,,,,
2021,September,All transport modes,"2,360",10.4,,,,
2021,October,All transport modes,"2,646",11,,,,
2021,November,All transport modes,"2,775",11.3,,,,
2021,December,All transport modes,"2,501",12.2,,,,
2022,January,All transport modes,"2,498",12.1,,,,
2022,February,All transport modes,"2,469",11.4,,,,
2022,March,All transport modes,"2,985",11.6,,,,
2022,April,Bus,"1,298",9.6,,,,
2022,May,Bus,"1,513",9.9,,,,
2022,June,Bus,"1,554",10.3,,,,
2022,July,Bus,"1,305",8.9,,,,
2022,August,Bus,"1,349",10.1,,,,
2022,September,Bus,"1,467",9.6,,,,
2022,October,Bus,"1,570",10,,,,
2022,November,Bus,"1,669",10.6,,,,
2022,December,Bus,"1,396",10.1,,,,
2023,January,Bus,"1,523",10.2,,,,
2023,February,Bus,"1,436",10.2,,,,
2023,March,Bus,"1,729",13.2,,,,
2022,April,London Underground,"1,050",13.3,,,,
2022,May,London Underground,"1,211",13.7,,,,
2022,June,London Underground,"1,211",15.3,,,,
2022,July,London Underground,"1,151",13.2,,,,
2022,August,London Underground,"1,329",16.3,,,,
2022,September,London Underground,937,10.4,,,,
2022,October,London Underground,"1,483",14.8,,,,
2022,November,London Underground,"1,725",18.1,,,,
2022,December,London Underground,"1,552",17.5,,,,
2023,January,London Underground,"1,687",19.1,,,,
2023,February,London Underground,"1,682",19,,,,
2023,March,London Underground,"1,917",24.9,,,,
2022,April,Docklands Light Railway,70,9.8,,,,
2022,May,Docklands Light Railway,107,12.8,,,,
2022,June,Docklands Light Railway,68,9.5,,,,
2022,July,Docklands Light Railway,58,8.1,,,,
2022,August,Docklands Light Railway,66,9.4,,,,
2022,September,Docklands Light Railway,50,6.7,,,,
2022,October,Docklands Light Railway,75,8.7,,,,
2022,November,Docklands Light Railway,98,12.1,,,,
2022,December,Docklands Light Railway,76,11,,,,
2023,January,Docklands Light Railway,67,8.7,,,,
2023,February,Docklands Light Railway,81,10.4,,,,
2023,March,Docklands Light Railway,85,12,,,,
2022,April,London Overground,105,8.8,,,,
2022,May,London Overground,127,9,,,,
2022,June,London Overground,147,11.8,,,,
2022,July,London Overground,136,10.4,,,,
2022,August,London Overground,152,12.8,,,,
2022,September,London Overground,101,7.1,,,,
2022,October,London Overground,125,9.1,,,,
2022,November,London Overground,160,10.7,,,,
2022,December,London Overground,128,12.2,,,,
2023,January,London Overground,123,9.2,,,,
2023,February,London Overground,135,10.7,,,,
2023,March,London Overground,171,14.5,,,,
2022,April,TFL Rail,67,16.2,,,,
2022,May,TFL Rail,86,12.8,,,,
2022,June,TFL Rail,87,8.6,,,,
2022,July,TFL Rail,90,8.4,,,,
2022,August,TFL Rail,95,8.8,,,,
2022,September,TFL Rail,79,6.6,,,,
2022,October,TFL Rail,109,9.4,,,,
2022,November,TFL Rail,139,8.5,,,,
2022,December,TFL Rail,142,9.5,,,,
2023,January,TFL Rail,108,6.9,,,,
2023,February,TFL Rail,130,8.2,,,,
2023,March,TFL Rail,128,9.6,,,,
2022,April,London Tramlink,10,6.3,,,,
2022,May,London Tramlink,27,13.8,,,,
2022,June,London Tramlink,20,11.1,,,,
2022,July,London Tramlink,22,13.1,,,,
2022,August,London Tramlink,21,13.8,,,,
2022,September,London Tramlink,13,7.1,,,,
2022,October,London Tramlink,14,7.9,,,,
2022,November,London Tramlink,37,20.6,,,,
2022,December,London Tramlink,33,21.6,,,,
2023,January,London Tramlink,41,22.6,,,,
2023,February,London Tramlink,24,14.3,,,,
2023,March,London Tramlink,28,18.5,,,,
2022,April,All transport modes,"2,600",10.9,,,,
2022,May,All transport modes,"3,071",11.3,,,,
2022,June,All transport modes,"3,087",11.8,,,,
2022,July,All transport modes,"2,762",10.4,,,,
2022,August,All transport modes,"3,012",12.2,,,,
2022,September,All transport modes,"2,647",9.5,,,,
2022,October,All transport modes,"3,376",11.5,,,,
2022,November,All transport modes,"3,828",13,,,,
2022,December,All transport modes,"3,327",12.8,,,,
2023,January,All transport modes,"3,549",12.9,,,,
2023,February,All transport modes,"3,488",13.1,,,,
2023,March,All transport modes,"4,058",16.8,,,,
2023,April,Bus,"1,672",11.5,,,,
2023,May,Bus,"1,584",9.9,,,,
2023,June,Bus,"1,618",10,,,,
2023,July,Bus,"1,373",8.8,,,,
2023,August,Bus,"1,178",8.2,,,,
2023,September,Bus,"1,551",9.5,,,,
2023,October,Bus,"1,739",10.7,,,,
2023,November,Bus,"1,764",10.9,,,,
2023,December,Bus,"1,702",11.5,,,,
2024,January,Bus,"1,565",10.3,,,,
2024,February,Bus,"1,504",10,,,,
2024,March,Bus,"1,520",9.3,,,,
2023,April,London Underground,"1,746",18.6,,,,
2023,May,London Underground,"1,934",19.8,,,,
2023,June,London Underground,"1,779",17.9,,,,
2023,July,London Underground,"1,937",19.4,,,,
2023,August,London Underground,"1,734",18.2,,,,
2023,September,London Underground,"1,680",17.7,,,,
2023,October,London Underground,"1,927",18.5,,,,
2023,November,London Underground,"2,328",21.9,,,,
2023,December,London Underground,"2,211",22.3,,,,
2024,January,London Underground,"1,960",21,,,,
2024,February,London Underground,"2,236",23.2,,,,
2024,March,London Underground,"2,123",21.1,,,,
2023,April,Docklands Light Railway,64,7.7,,,,
2023,May,Docklands Light Railway,75,8.6,,,,
2023,June,Docklands Light Railway,92,10.9,,,,
2023,July,Docklands Light Railway,93,11.2,,,,
2023,August,Docklands Light Railway,66,8.3,,,,
2023,September,Docklands Light Railway,68,8.1,,,,
2023,October,Docklands Light Railway,71,7.6,,,,
2023,November,Docklands Light Railway,72,8.8,,,,
2023,December,Docklands Light Railway,62,8.5,,,,
2024,January,Docklands Light Railway,80,10.2,,,,
2024,February,Docklands Light Railway,65,8.1,,,,
2024,March,Docklands Light Railway,61,7.6,,,,
2023,April,London Overground,147,10.4,,,,
2023,May,London Overground,161,10.4,,,,
2023,June,London Overground,167,10.4,,,,
2023,July,London Overground,155,10.5,,,,
2023,August,London Overground,170,12.1,,,,
2023,September,London Overground,146,9.2,,,,
2023,October,London Overground,198,12,,,,
2023,November,London Overground,211,12.9,,,,
2023,December,London Overground,163,11.8,,,,
2024,January,London Overground,162,11.3,,,,
2024,February,London Overground,149,10,,,,
2024,March,London Overground,172,11.4,,,,
2023,April,TFL Rail,109,7.5,,,,
2023,May,TFL Rail,160,9.6,,,,
2023,June,TFL Rail,130,7.4,,,,
2023,July,TFL Rail,167,9.4,,,,
2023,August,TFL Rail,162,9.4,,,,
2023,September,TFL Rail,186,10.4,,,,
2023,October,TFL Rail,190,10,,,,
2023,November,TFL Rail,195,10.2,,,,
2023,December,TFL Rail,187,10.8,,,,
2024,January,TFL Rail,163,9.5,,,,
2024,February,TFL Rail,171,9.9,,,,
2024,March,TFL Rail,194,10.6,,,,
2023,April,London Tramlink,28,18.9,,,,
2023,May,London Tramlink,25,13.8,,,,
2023,June,London Tramlink,18,9.7,,,,
2023,July,London Tramlink,28,16.2,,,,
2023,August,London Tramlink,22,13.8,,,,
2023,September,London Tramlink,33,18.6,,,,
2023,October,London Tramlink,28,18.4,,,,
2023,November,London Tramlink,21,11.7,,,,
2023,December,London Tramlink,16,9.6,,,,
2024,January,London Tramlink,25,14.1,,,,
2024,February,London Tramlink,15,12,,,,
2024,March,London Tramlink,10,5.9,,,,
2023,April,All transport modes,"3,766",13.6,,,,
2023,May,All transport modes,"3,939",13.1,,,,
2023,June,All transport modes,"3,804",12.5,,,,
2023,July,All transport modes,"3,753",12.5,,,,
2023,August,All transport modes,"3,332",12,,,,
2023,September,All transport modes,"3,664",12.1,,,,
2023,October,All transport modes,"4,153",13.2,,,,
2023,November,All transport modes,"4,591",14.6,,,,
2023,December,All transport modes,"4,341",15.1,,,,
2024,January,All transport modes,"3,955",13.8,,,,
2024,February,All transport modes,"4,140",14.3,,,,
2024,March,All transport modes,"4,080",13.3,,,,
